WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
2016-02-06,Middle East,Bahrain,Capital,Battles,Armed clash,1,0,69821.0,Political violence,285.0,26.1927,50.5508
2026-02-28,Middle East,Bahrain,Capital,Explosions/Remote violence,Air/drone strike,9,0,9077.0,Political violence,285.0,26.1927,50.5508
2026-03-07,Middle East,Bahrain,Capital,Explosions/Remote violence,Air/drone strike,7,1,,Political violence,285.0,26.1927,50.5508
2016-06-25,Middle East,Bahrain,Capital,Explosions/Remote violence,Remote explosive/landmine/IED,1,1,5568.0,Political violence,285.0,26.1927,50.5508
2017-02-11,Middle East,Bahrain,Capital,Explosions/Remote violence,Remote explosive/landmine/IED,2,0,4084.0,Political violence,285.0,26.1927,50.5508
2017-02-18,Middle East,Bahrain,Capital,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,4084.0,Political violence,285.0,26.1927,50.5508
2017-08-12,Middle East,Bahrain,Capital,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,4084.0,Political violence,285.0,26.1927,50.5508
2017-09-30,Middle East,Bahrain,Capital,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,12033.0,Political violence,285.0,26.1927,50.5508
2017-10-21,Middle East,Bahrain,Capital,Explosions/Remote violence,Remote explosive/landmine/IED,1,1,7080.0,Political violence,285.0,26.1927,50.5508
2017-07-01,Middle East,Bahrain,Capital,Explosions/Remote violence,Shelling/artillery/missile attack,1,0,20331.0,Political violence,285.0,26.1927,50.5508
2026-02-28,Middle East,Bahrain,Capital,Explosions/Remote violence,Shelling/artillery/missile attack,2,0,,Political violence,285.0,26.1927,50.5508
2016-03-05,Middle East,Bahrain,Capital,Protests,Excessive force against protesters,1,0,4853.0,Political violence; Demonstrations,285.0,26.1927,50.5508
2016-03-26,Middle East,Bahrain,Capital,Protests,Excessive force against protesters,2,0,38447.0,Political violence; Demonstrations,285.0,26.1927,50.5508
2017-01-07,Middle East,Bahrain,Capital,Protests,Excessive force against protesters,1,0,4744.0,Political violence; Demonstrations,285.0,26.1927,50.5508
2017-03-25,Middle East,Bahrain,Capital,Protests,Excessive force against protesters,1,0,7574.0,Political violence; Demonstrations,285.0,26.1927,50.5508
2018-05-12,Middle East,Bahrain,Capital,Protests,Excessive force against protesters,1,0,4908.0,Political violence; Demonstrations,285.0,26.1927,50.5508
2019-07-27,Middle East,Bahrain,Capital,Protests,Excessive force against protesters,1,1,26841.0,Political violence; Demonstrations,285.0,26.1927,50.5508
2022-11-19,Middle East,Bahrain,Capital,Protests,Excessive force against protesters,1,0,35723.0,Political violence; Demonstrations,285.0,26.1927,50.5508
2024-02-10,Middle East,Bahrain,Capital,Protests,Excessive force against protesters,1,0,3026.0,Political violence; Demonstrations,285.0,26.1927,50.5508
2026-02-28,Middle East,Bahrain,Capital,Protests,Excessive force against protesters,1,0,,Political violence; Demonstrations,285.0,26.1927,50.5508
2015-12-26,Middle East,Bahrain,Capital,Protests,Peaceful protest,3,0,38207.0,Demonstrations,285.0,26.1927,50.5508
2016-01-02,Middle East,Bahrain,Capital,Protests,Peaceful protest,29,0,215598.0,Demonstrations,285.0,26.1927,50.5508
2016-01-09,Middle East,Bahrain,Capital,Protests,Peaceful protest,22,0,191938.0,Demonstrations,285.0,26.1927,50.5508
2016-01-16,Middle East,Bahrain,Capital,Protests,Peaceful protest,7,0,64240.0,Demonstrations,285.0,26.1927,50.5508
2016-01-23,Middle East,Bahrain,Capital,Protests,Peaceful protest,12,0,144622.0,Demonstrations,285.0,26.1927,50.5508
2016-01-30,Middle East,Bahrain,Capital,Protests,Peaceful protest,19,0,140170.0,Demonstrations,285.0,26.1927,50.5508
2016-02-06,Middle East,Bahrain,Capital,Protests,Peaceful protest,32,0,241253.0,Demonstrations,285.0,26.1927,50.5508
2016-02-13,Middle East,Bahrain,Capital,Protests,Peaceful protest,30,0,176224.0,Demonstrations,285.0,26.1927,50.5508
2016-02-20,Middle East,Bahrain,Capital,Protests,Peaceful protest,16,0,155041.0,Demonstrations,285.0,26.1927,50.5508
2016-02-27,Middle East,Bahrain,Capital,Protests,Peaceful protest,29,0,197725.0,Demonstrations,285.0,26.1927,50.5508
2016-03-05,Middle East,Bahrain,Capital,Protests,Peaceful protest,16,0,167422.0,Demonstrations,285.0,26.1927,50.5508
